comment,cleaned,sentiment
Ya kb launch ho rhy hn new arrivals,ya kb launch ho rhy hn new arrivals,positive
Is it available online....?,available online,positive
❤️,,neutral
Price plz,price plz,neutral
Any upcoming sale?,upcoming sale,neutral
Website pr show nahi ho raha kindly update your website,website pr show nahi ho raha kindly update website,positive
Price plz,price plz,neutral
Website py to nh mil raha ye,website py nh mil raha ye,neutral
Price please?,price please,neutral
Price plz,price plz,neutral
Price plz,price plz,neutral
Stiched ki sale b ha,stiched ki sale b ha,neutral
Ye website py show nae ho raha,ye website py show nae ho raha,neutral
Prize,prize,neutral
Link plz,link plz,neutral
Volume 2,volume,neutral
How much price,much price,positive
Rates buht increase kr diye hn,rates buht increase kr diye hn,neutral
Looks so elegant 😍😍,looks elegant,positive
Price,price,neutral
Please update your website,please update website,neutral
Pp,pp,neutral
Price?,price,neutral
Prize,prize,neutral
Hi I can’t find this,hi cant find,neutral
Price,price,neutral
Pp,pp,neutral
Pp this article,pp article,neutral
Price,price,neutral
Price,price,neutral
Yi nhi mil rhaa online store py plz help me😢,yi nhi mil rhaa online store py plz help,neutral
this article is not available on website,article available website,positive
Price this article,price article,neutral
Apk page pr nhi araha,apk page pr nhi araha,neutral
Pp,pp,neutral
Me nee le hai yhi sott bahott payarii hai,nee le hai yhi sott bahott payarii hai,neutral
Pp,pp,neutral
Price,price,neutral
😍,,neutral
Please dm the link,please dm link,neutral
Fazol sale hai,fazol sale hai,neutral
Not available?,available,positive
Ye dress to show he nii ho rha??,ye dress show nii ho rha,neutral
Can you please send me the direct link of this dress??,please send direct link dress,neutral
Mera kehny ka matlb ye hai k sapphire ka jaha bhe dukan ho masla Hal Karna chahiye ... Ye helpline ka q kehty hai,mera kehny ka matlb ye hai k sapphire ka jaha bhe dukan ho masla hal karna chahiye ye helpline ka q kehty hai,neutral
"Bht afsos se kehna parh Raha hai""zoyakhaan1991",bht afsos se kehna parh raha haizoyakhaan,neutral
💚💚💚💚💚💚,,neutral
❤️,,neutral
Price,price,neutral
Price,price,neutral
👏👏,,neutral
❤️,,neutral
Awesome 👍😍😍,awesome,positive
Prices,prices,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
price,price,neutral
Price,price,neutral
Price please,price please,neutral
Price,price,neutral
Beautiful,beautiful,positive
Price??,price,neutral
Price,price,neutral
Price,price,neutral
P.p,pp,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
Price please,price please,neutral
Price,price,neutral
Price,price,neutral
price,price,neutral
Price,price,neutral
Price,price,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
😢 price please,price please,neutral
Price?,price,neutral
Price,price,neutral
Price,price,neutral
❤️❤️❤️,,neutral
Price,price,neutral
Nice price plz,nice price plz,positive
Price,price,neutral
Price kya h,price kya h,neutral
Pp,pp,neutral
?,,neutral
"Amazing 😍""roykazam",amazing roykazam,positive
Correct code????,correct code,neutral
12k ka suit ?,k ka suit,neutral
Price,price,neutral
Price please,price please,neutral
Couldn't find this article on website. Kindly share link here !,couldnt find article website kindly share link,positive
Priceeee,priceeee,neutral
Link,link,neutral
Online available ha,online available ha,positive
😮,,neutral
Is it available ? Because it can't be open on website plzzz share ka link 🖇️ of this dress,available cant open website plzzz share ka link dress,positive
Plz restock,plz restock,neutral
price,price,neutral
I need help to purchase it,need help purchase,neutral
Price,price,neutral
Price,price,neutral
Ye toh eid 1 collection ka suit hai new kaise ?,ye toh eid collection ka suit hai new kaise,positive
Product code is wrong,product code wrong,negative
Price,price,neutral
Price,price,neutral
Price z,price z,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
wrong code,wrong code,negative
Price,price,neutral
Price?,price,neutral
Is this article can be restocke?,article restocke,neutral
Prize,prize,neutral
Sapphire page p yeh dress show Nahi ho Raha ?,sapphire page p yeh dress show nahi ho raha,neutral
How can I purchase it,purchase,neutral
price,price,neutral
pls send the link,pls send link,neutral
Pp,pp,neutral
Is this article can be restock ot not,article restock ot,neutral
Pp,pp,neutral
Pp,pp,neutral
I wish I could buy this. I'm late. Plz restock again this article 😢,wish could buy im late plz restock article,negative
Plzz restock it,plzz restock,neutral
Link??,link,neutral
Link plz,link plz,neutral
"is this dress available in pakistam as well , I could only find it on website of global sapphire",dress available pakistam well could find website global sapphire,positive
Ye article tw page pr kahi b nhi h ??,ye article tw page pr kahi b nhi h,neutral
Price plz,price plz,neutral
Share the link of this dress....,share link dress,neutral
Price,price,neutral
Price,price,neutral
What price,price,neutral
Price,price,neutral
Link?,link,neutral
This suit is not available on web,suit available web,positive
Please give the right code,please give right code,positive
Link plzzz,link plzzz,neutral
I can't find this dress online??the code is also not working,cant find dress onlinethe code also working,neutral
Ye article show he ni ho rha website py....please  share the link,ye article show ni ho rha website pyplease share link,neutral
I want to purchase but code is incorrect,want purchase code incorrect,neutral
Couldn't find this one on site,couldnt find one site,neutral
Link pls,link pls,neutral
Nice 😎 price,nice price,positive
Price,price,neutral
link plz,link plz,neutral
Price,price,neutral
Beautiful 😍,beautiful,positive
This suit is not available on web.,suit available web,positive
Price pz,price pz,neutral
Mujy to nae mil raha ye suit,mujy nae mil raha ye suit,neutral
Link pls,link pls,neutral
Why code is not working... Plz update or send new,code working plz update send new,positive
Link plz,link plz,neutral
This still isn’t available on your website,still isnt available website,positive
Link plzzz,link plzzz,neutral
link plz,link plz,neutral
Pp,pp,neutral
Price,price,neutral
"Not available,??",available,positive
Kindly share the link of this dress,kindly share link dress,positive
Price,price,neutral
Baji Baki kamezz kider Hy???,baji baki kamezz kider hy,neutral
This suit is not available on website,suit available website,positive
Site pe ni show ho Raha,site pe ni show ho raha,neutral
Pakistan mein delivery Wala koi aption ni hai,pakistan mein delivery wala koi aption ni hai,neutral
I want this u can help plz,want u help plz,neutral
Couldn't find on website,couldnt find website,neutral
Available ?,available,positive
Is t,,neutral
11k for this three piece??? Seriously?????,k three piece seriously,negative
😂shirt ziyada lambi ni c di,shirt ziyada lambi ni c di,neutral
Link plz???,link plz,neutral
Sara fabric selves main zaya kr diya,sara fabric selves main zaya kr diya,positive
Link.plz,linkplz,neutral
Price,price,neutral
😍,,neutral
Pretty but not showing on website after searching product code,pretty showing website searching product code,positive
Price plz,price plz,neutral
Tshirt hi pehna do shalwar pe 🙄,tshirt hi pehna shalwar pe,neutral
Code,code,neutral
Price,price,neutral
5k,k,neutral
Price,price,neutral
Price,price,neutral
Price?,price,neutral
Pretty,pretty,positive
Outstanding,outstanding,positive
Price,price,neutral
Price,price,neutral
Price please,price please,neutral
Price plz,price plz,neutral
Available?,available,positive
Product code?,product code,neutral
Itni long shirt!!!!,itni long shirt,neutral
Price,price,neutral
Itni short shirt isn't looking nice.,itni short shirt isnt looking nice,positive
Not showing on site,showing site,neutral
I didn't find it plz link bhi sath may mentioned k,didnt find plz link bhi sath may mentioned k,neutral
Is ke price 5000 hai meny buy kia hai bhtttt zabrdasttt lgta hai phena huwa,ke price hai meny buy kia hai bhtttt zabrdasttt lgta hai phena huwa,neutral
Yeh abhi ayaa nii suit ??,yeh abhi ayaa nii suit,neutral
Show nahi ho rha yeh article,show nahi ho rha yeh article,neutral
Price,price,neutral
Don't find on website... kindly share it link,dont find website kindly share link,positive
pp,pp,neutral
Please send me the link to this product,please send link product,neutral
Price,price,neutral
🙌,,neutral
❤️,,neutral
Pp,pp,neutral
price,price,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Price please 😍,price please,neutral
Mujy ye dress nahi mill rha website py es code py koi dosra dress a rha he,mujy ye dress nahi mill rha website py es code py koi dosra dress rha,neutral
Ya tuo page pa nahi hai,ya tuo page pa nahi hai,neutral
Pp,pp,neutral
Price montion kre,price montion kre,neutral
I can't find this product on website,cant find product website,neutral
Price plz,price plz,neutral
Price plz? And give link this article is not available at website,price plz give link article available website,positive
Price,price,neutral
This article is available on international website but not available on Pakistani website,article available international website available pakistani website,positive
This article is not showing in website how we can get it,article showing website get,neutral
I can't find this,cant find,neutral
This is for 12k,k,neutral
Is it available?,available,positive
price,price,neutral
Link?,link,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Pp,pp,neutral
Aur pp 11124 show ho rahi hai,aur pp show ho rahi hai,neutral
Why this article is not show on website,article show website,neutral
Prize,prize,neutral
What's the product code??,whats product code,neutral
Plz send me this link?,plz send link,neutral
Price,price,neutral
Pp,pp,neutral
Discount kb tk lgni h ap ki ?,discount kb tk lgni h ap ki,neutral
This article is not on website i tried so many times.,article website tried many times,positive
Price,price,neutral
Link please this dress...,link please dress,neutral
Still not available on your website.,still available website,positive
Pp,pp,neutral
I wear this dress on eid and it was so comfortable ❤️ I really love it,wear dress eid comfortable really love,positive
Price,price,neutral
Link,link,neutral
Price plx,price plx,neutral
Pp,pp,neutral
Koei search ni hota ye DM mey jaa k bhi ullo bnaya hua hay awaam ko... Jab aap k paas website hay to us py Kun ni lgaaye design's,koei search ni hota ye dm mey jaa k bhi ullo bnaya hua hay awaam ko jab aap k paas website hay us py kun ni lgaaye designs,neutral
Price please,price please,neutral
Wow 😍😍,wow,neutral
It's too expensive 😫 11240,expensive,negative
Price ?,price,neutral
Link please,link please,neutral
Pp,pp,neutral
When is your next sale,next sale,neutral
Price,price,neutral
Price,price,neutral
Pp,pp,neutral
Link plzzzz share karay,link plzzzz share karay,neutral
Price plzz,price plzz,neutral
sale kb lgy gi,sale kb lgy gi,neutral
Pp,pp,neutral
Correct code btayn,correct code btayn,neutral
Iska code wrong h kya ye dress n h website l,iska code wrong h kya ye dress n h website l,negative
This is not available on site.when it will be,available sitewhen,positive
Price,price,neutral
pp,pp,neutral
it's not available in your website please I want to this,available website please want,positive
Yeh suit kab show hoga,yeh suit kab show hoga,neutral
nice color,nice color,positive
Prize,prize,neutral
P p,p p,neutral
Link plz,link plz,neutral
Price,price,neutral
Price plz,price plz,neutral
Price,price,neutral
Link plz,link plz,neutral
Link plzz share krden,link plzz share krden,neutral
Prize,prize,neutral
Eknkam Karo puchna Tha K qameez next year pehny gy fashion K mutabeq ya nahi.bagerat pori qameez hi utar phankoo,eknkam karo puchna tha k qameez next year pehny gy fashion k mutabeq ya nahibagerat pori qameez hi utar phankoo,neutral
link plz,link plz,neutral
I dont know why the price on web is 12k for the same dress.,dont know price web k dress,neutral
Sale mn price kitni h suit ki,sale mn price kitni h suit ki,neutral
Not available on website,available website,positive
P,p,neutral
Link plz,link plz,neutral
Link,link,neutral
This article is not available on website.,article available website,positive
Price,price,neutral
Price,price,neutral
Pp,pp,neutral
When this article will be available ?,article available,positive
G Kesy mangwa skaty hy,g kesy mangwa skaty hy,neutral
I want to buy but i don't know kis k liya buy karo,want buy dont know kis k liya buy karo,neutral
"Price ?""mrs_farhan780",price mrsfarhan,neutral
Ooo my dress 👗 😍 eid py wore kia,ooo dress eid py wore kia,neutral
Price plz,price plz,neutral
Kia price hai,kia price hai,neutral
Rate,rate,neutral
Available?,available,positive
Website py yh dress q show nhi ho Raha,website py yh dress q show nhi ho raha,neutral
How much price,much price,positive
I buy this dress but did not understand two organza patches ? Konsa patch kidhr ka ha,buy dress understand two organza patches konsa patch kidhr ka ha,neutral
Price,price,neutral
Price plz,price plz,neutral
Price plz,price plz,neutral
Give the link of this dress,give link dress,neutral
Price Kay hy as sout ke,price kay hy sout ke,neutral
Price plz,price plz,neutral
Price,price,neutral
Price??,price,neutral
Ye Nhi nikal raha,ye nhi nikal raha,neutral
Kindly send me a dm for this dress,kindly send dm dress,positive
Please price,please price,neutral
Price,price,neutral
Price plz,price plz,neutral
Available h?,available h,positive
Price,price,neutral
Could not find this dress anywhere on the website,could find dress anywhere website,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Please restocked this dress,please restocked dress,neutral
I want this,want,neutral
this dress code is'nt found,dress code isnt found,neutral
Pp,pp,neutral
Plz link dyn dress ka didn't find,plz link dyn dress ka didnt find,neutral
Prize plz,prize plz,neutral
Kindly sent me the link of this dress,kindly sent link dress,positive
Price,price,neutral
Price,price,neutral
Ye dress website pe nhi show ho raha,ye dress website pe nhi show ho raha,neutral
Plz send me direct link,plz send direct link,neutral
Plz esko apni www.pk pr upload krien,plz esko apni wwwpk pr upload krien,neutral
Price,price,neutral
mujy to ni nazar aye website py,mujy ni nazar aye website py,neutral
Price,price,neutral
Can not find on website,find website,neutral
Price,price,neutral
i can't find this dress,cant find dress,neutral
Kindly send me the link for this dress,kindly send link dress,positive
Please  dm me the link of this article,please dm link article,neutral
Price please?,price please,neutral
Can’t see this on website it’s only avb for international customers,cant see website avb international customers,neutral
Price?,price,neutral
price plzzzzzz,price plzzzzzz,neutral
Price,price,neutral
price,price,neutral
Price plz,price plz,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Can't see on website,cant see website,neutral
Can't see this article on website,cant see article website,neutral
Pp,pp,neutral
Can you plz give link for this dress,plz give link dress,neutral
Price,price,neutral
Cant see on website plz dm,cant see website plz dm,neutral
Website pe show nhi ho rha ye dress please share link,website pe show nhi ho rha ye dress please share link,neutral
It's price,price,neutral
Not there,,neutral
Price,price,neutral
Pp,pp,neutral
Cant see on website please DM,cant see website please dm,neutral
Pp,pp,neutral
Nice,nice,positive
Can't see on website,cant see website,neutral
How to chk this Article on website there is no link,chk article website link,neutral
Very beautiful ❤️,beautiful,positive
Price,price,neutral
cant see this on website,cant see website,neutral
Price?,price,neutral
price,price,neutral
Why publicize if not available,publicize available,positive
Price,price,neutral
Price plz,price plz,neutral
Sale kb lgy gi,sale kb lgy gi,neutral
Too much expensive 😮😮😮,much expensive,negative
Price,price,neutral
Globle website pr ye sb suits 2ble price pr hy,globle website pr ye sb suits ble price pr hy,neutral
This is My Eid dress ❤️,eid dress,neutral
😂😍,,neutral
Jrpht,jrpht,neutral
Priz,priz,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Plz send me the link of this dress,plz send link dress,neutral
Kindly send me link of this article,kindly send link article,positive
Plx,plx,neutral
Mujhy pasandh ha,mujhy pasandh ha,neutral
😍,,neutral
"I had ordered a parcel from the sale products, but I haven’t received it yet. Please let me know when I will receive the parcel ....",ordered parcel sale products havent received yet please let know receive parcel,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
"Available?""jasmine.romi.3",availablejasmineromi,neutral
💚💚💚,,neutral
So nice ❤️,nice,positive
Cute 😍,cute,positive
"rabia is love and love this outfit, sapphire is best brand..❤️🔥",rabia love love outfit sapphire best brand,positive
Excellent,excellent,positive
👏👏👏👏👏👏👏,,neutral
Beautiful lady with stunning dress,beautiful lady stunning dress,positive
Elegant and most beautiful😍😍,elegant beautiful,positive
Beautiful 😍,beautiful,positive
"I like her voice, the way she talks,laugh...cute. MashaAllah",like voice way talkslaughcute mashaallah,neutral
❤️❤️❤️,,neutral
Price,price,neutral
Price plzz,price plzz,neutral
She's so pretty,shes pretty,positive
Rabia beautiful pic Mashallah Blessed ❤️,rabia beautiful pic mashallah blessed,positive
So good 😍😍❤️,good,positive
Price,price,neutral
Price kaya hy,price kaya hy,neutral
Price,price,neutral
Price,price,neutral
how much price??,much price,positive
Price ?,price,neutral
Price,price,neutral
Mjhy q lg rha hy sapphire is copying Ethnic,mjhy q lg rha hy sapphire copying ethnic,neutral
Pp for whole dress,pp whole dress,positive
I like her👍,like,neutral
Hi,hi,neutral
She’s cute ☺️,shes cute,positive
Pp,pp,neutral
"So Nice 💛 Beautiful waooo😍""couplesmoans69",nice beautiful waooocouplesmoans,positive
Price?,price,neutral
😍,,neutral
Price,price,neutral
Ya available ha abi store main pliz bta dain,ya available ha abi store main pliz bta dain,positive
Price ka ha,price ka ha,neutral
Price,price,neutral
Gave me plz article shop on par ni mila,gave plz article shop par ni mila,neutral
Priceplz,priceplz,neutral
Price ?,price,neutral
Kindly check your inbox,kindly check inbox,positive
Price,price,neutral
Price,price,neutral
Pretty✨,pretty,positive
Chand raat Mubarak guyz🔥🙌,chand raat mubarak guyz,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Pp,pp,neutral
Is this available,available,positive
Is it available???,available,positive
Is this dress available??,dress available,positive
Price?,price,neutral
Is it available,available,positive
Plz restock it,plz restock,neutral
Price,price,neutral
Price,price,neutral
"❤""coolgirl_576",coolgirl,neutral
Link pls,link pls,neutral
this artical is not available on website ?,artical available website,positive
Price?,price,neutral
Ye website py hay e ni,ye website py hay e ni,neutral
I thought it would be around 5k but this season collection is supper expensive,thought would around k season collection supper expensive,negative
Price plz?,price plz,neutral
Ya to website pa nai hain?,ya website pa nai hain,neutral
price plz?,price plz,neutral
Link-??,link,neutral
Price,price,neutral
Or kase mile ga,kase mile ga,neutral
Its not available in website,available website,positive
Ye dres hy,ye dres hy,neutral
Plzzz link,plzzz link,neutral
Link plz,link plz,neutral
It's not available on the website,available website,positive
Price,price,neutral
ye tu hai e ni,ye tu hai e ni,neutral
Not available on website,available website,positive
Website py available nai hai,website py available nai hai,positive
Not available on website,available website,positive
Prices kitne,prices kitne,neutral
Available? Link plz,available link plz,positive
Link,link,neutral
Link plz,link plz,neutral
price,price,neutral
Link??,link,neutral
price,price,neutral
I can’t find this article on your website,cant find article website,neutral
This dress is not available on website,dress available website,positive
Price please,price please,neutral
This dress is not available on website?,dress available website,positive
Not available on website,available website,positive
Price?,price,neutral
Pp,pp,neutral
It's not available anywhere,available anywhere,positive
Pp,pp,neutral
Price plz?,price plz,neutral
Price?,price,neutral
Price,price,neutral
Price,price,neutral
❤️,,neutral
I didn't found this article o website,didnt found article website,neutral
Pp,pp,neutral
Not on website,website,neutral
Pp?,pp,neutral
Its not available in website,available website,positive
Price,price,neutral
Pp,pp,neutral
Uuuff🔥🔥,uuuff,neutral
Website pe show nai horha,website pe show nai horha,neutral
Price,price,neutral
Price,price,neutral
"😍""shuaibmazhar125",shuaibmazhar,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
4200 ka h ye,ka h ye,neutral
Fabric !?,fabric,neutral
Price plz,price plz,neutral
plz restock eid collection,plz restock eid collection,neutral
Price plz,price plz,neutral
Price,price,neutral
Price?,price,neutral
Model is very beautiful lady.The dress actually is nothing but nowIt costs too much,model beautiful ladythe dress actually nothing nowit costs much,positive
Price,price,neutral
Price please,price please,neutral
Price,price,neutral
Pp,pp,neutral
Why are you not mention the price?,mention price,neutral
Price,price,neutral
Price,price,neutral
it will be include in todays starting sale ???,include todays starting sale,neutral
Price plz?,price plz,neutral
Prize,prize,neutral
pric to likh dya kren,pric likh dya kren,neutral
Price,price,neutral
Pp,pp,neutral
"Pp""zunimanz01",ppzunimanz,neutral
❤️,,neutral
price,price,neutral
Price plz,price plz,neutral
