comment,cleaned,sentiment
Your design are always stunning 👍👍👍,design always stunning,positive
Prixe,prixe,neutral
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,neutral
Price plz,price plz,neutral
Price plz,price plz,neutral
price plz,price plz,neutral
Price,price,neutral
price??,price,neutral
Price,price,neutral
Price,price,neutral
"Kindly make medium tones dresses too. Either colours are white, off white or so light (like aqua etc) they after even hand wash they look so dull. Or either they are red/ maroon, orange or black. There are sooo beautiful colours & their shades that would look so nice in summers. Sea green (light/ dark & grapes colour), mauve, purple, beige, grey, pink, blue & their different combination. These can look so nice. Sometimes one colour is available in different designs of same volume & so many colours are missing. Pls consider",kindly make medium tones dresses either colours white white light like aqua etc even hand wash look dull either red maroon orange black sooo beautiful colours shades would look nice summers sea green light dark grapes colour mauve purple beige grey pink blue different combination look nice sometimes one colour available different designs volume many colours missing pls consider,positive
Price,price,neutral
Price,price,neutral
Price,price,neutral
Price?,price,neutral
Pp plz,pp plz,neutral
Price,price,neutral
Kese oder kro,kese oder kro,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Muje ye chae,muje ye chae,neutral
Beautiful ❤️,beautiful,positive
Price?,price,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Please let me know the price,please let know price,neutral
Ppp,ppp,neutral
Why my ordwr is not even dispatched yet ?,ordwr even dispatched yet,neutral
Price?,price,neutral
Pp,pp,neutral
Pp,pp,neutral
Pp,pp,neutral
Pp,pp,neutral
Pp,pp,neutral
Pp,pp,neutral
Beautiful colour combination ❤️❤️❤️❤️❤️,beautiful colour combination,positive
Price,price,neutral
pp plz,pp plz,neutral
Pp,pp,neutral
Pp,pp,neutral
Why not share the catalogue,share catalogue,neutral
Why catalogue not showing,catalogue showing,neutral
Sapphirepakistn reply daun plz,sapphirepakistn reply daun plz,neutral
Nice,nice,positive
💥🥰,,neutral
❤️❤️❤️❤️,,neutral
Y show ku ni ho ra dress,show ku ni ho ra dress,neutral
Is bar catalog kyu nae diya pehle,bar catalog kyu nae diya pehle,neutral
Share catalog please,share catalog please,neutral
Is the catalogue available?,catalogue available,positive
Catalogue,catalogue,neutral
😍❤️❤️,,neutral
😍😍😍😍😍😍,,neutral
Kindly post the catalogue,kindly post catalogue,positive
Price,price,neutral
Pp,pp,neutral
Price,price,neutral
Pp,pp,neutral
Price,price,neutral
Price of this dress,price dress,neutral
price,price,neutral
Pp??,pp,neutral
Pp,pp,neutral
Price,price,neutral
Oprice,oprice,neutral
Price,price,neutral
Price 😻,price,neutral
Price,price,neutral
Pp,pp,neutral
Pp,pp,neutral
🔥🔥🔥,,neutral
Cherish the moments 💜😍,cherish moments,neutral
Highlights dakhi kaisi lgi guy's,highlights dakhi kaisi lgi guys,neutral
😍😍😍🔥,,neutral
❤️,,neutral
🔥🔥🔥🔥🔥,,neutral
😍❤️,,neutral
Want to oder,want oder,neutral
Price,price,neutral
Beautiful ❤️,beautiful,positive
Beautiful,beautiful,positive
Wow2025 first time 🔥🔥🔥🔥🔥🔥,wow first time,positive
❤️❤️,,neutral
Bqwas brand,bqwas brand,neutral
❤️,,neutral
Price,price,neutral
"Your stuff ,design are stunning 🔥",stuff design stunning,positive
Nice 👍,nice,positive
Price plz,price plz,neutral
Pp,pp,neutral
Pric,pric,neutral
Price plz,price plz,neutral
Pp,pp,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
"price""shumaizasehr258258",priceshumaizasehr,neutral
Price,price,neutral
Please share catalogue of this collection ❤️,please share catalogue collection,neutral
❤️❤️,,neutral
Beautiful,beautiful,positive
😍❤️,,neutral
Catalogue?,catalogue,neutral
Price plz?,price plz,neutral
❤️,,neutral
stitch kub aega,stitch kub aega,neutral
👍🏻💖,,neutral
Price,price,neutral
Plz take patriotic celebrities as models in ur campaigns.,plz take patriotic celebrities models ur campaigns,neutral
❤️😍,,neutral
oh my god such a beautiful dress price plz,oh god beautiful dress price plz,positive
Price,price,neutral
Fabric and price ?,fabric price,neutral
Price?,price,neutral
Price,price,neutral
Price,price,neutral
Catalogue?,catalogue,neutral
Price,price,neutral
Pp,pp,neutral
Abi tak parcel ni mila,abi tak parcel ni mila,neutral
Saphhire on itss besttt,saphhire itss besttt,neutral
Price,price,neutral
Pp,pp,neutral
Price?,price,neutral
Price?,price,neutral
Price,price,neutral
Pp,pp,neutral
Price please,price please,neutral
Pp,pp,neutral
Can u plz send the catalog I tried on WhatsApp but didn't get any response,u plz send catalog tried whatsapp didnt get response,neutral
Pp??,pp,neutral
P,p,neutral
Pp,pp,neutral
Pp,pp,neutral
pp,pp,neutral
Price pls,price pls,neutral
Price,price,neutral
Price?,price,neutral
Price plz,price plz,neutral
Mashallah so beautiful ayeza khan ❤️❤️,mashallah beautiful ayeza khan,positive
🔥😍,,neutral
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,neutral
why sapphire not taking bills from australia ?,sapphire taking bills australia,neutral
pp,pp,neutral
Wao,wao,neutral
😍😍,,neutral
Stunning 😍,stunning,positive
Price,price,neutral
What a beautiful,beautiful,positive
Yh to nae tha website pe,yh nae tha website pe,neutral
❤️😍,,neutral
Stunning😍😍😍😍,stunning,positive
Price???,price,neutral
Ya lawn suit hai?,ya lawn suit hai,neutral
Pp,pp,neutral
Price,price,neutral
Pp,pp,neutral
Pp,pp,neutral
Sapphire k sale Waly orders deliver Q ni hu rahy abi tak .so poor customer service from sapphire na reply karty na call attend,sapphire k sale waly orders deliver q ni hu rahy abi tak poor customer service sapphire na reply karty na call attend,negative
Woww price plss,woww price plss,neutral
Waow,waow,neutral
Good one,good one,positive
❤️❤️,,neutral
Catalogue,catalogue,neutral
OMG 🔥🔥🔥,omg,neutral
🔥🔥,,neutral
I love her eyes more than this dress😍,love eyes dress,positive
Check dm please,check dm please,neutral
Beautiful,beautiful,positive
Nice,nice,positive
💚💚💚💚💚,,neutral
Awww 🥰 i just love with this dress can’t wait 😜,awww love dress cant wait,positive
Kitna fazool print hai,kitna fazool print hai,neutral
Kindly respond to dms .. very bad customer care service,kindly respond dms bad customer care service,neutral
Kindliy reply kar diya kare,kindliy reply kar diya kare,neutral
Btttt hania amir wali collection ki trha outstanding nhi ha,btttt hania amir wali collection ki trha outstanding nhi ha,positive
She the beauty ❤️,beauty,neutral
Miss Perfectionist  ❤️❤️ 👑 😇 😘,miss perfectionist,neutral
Naic🔥🔥🔥,naic,neutral
😍,,neutral
Loving ayeza khan in this campaign ❤️😍,loving ayeza khan campaign,positive
Arey waaah ❤️,arey waaah,neutral
Woww💗✨️,woww,neutral
She is such a diva 💅🫠,diva,neutral
Waiting to ordr plz jaldi kre ❤️,waiting ordr plz jaldi kre,neutral
Dnt lyk her.hypocrte,dnt lyk herhypocrte,neutral
"Pp?""__cuterumii__",ppcuterumii,neutral
❤️❤️❤️❤️❤️❤️,,neutral
Waitingggg waitiingggg😍,waitingggg waitiingggg,neutral
Catalogue?,catalogue,neutral
Bht pyari collection h mgr doohty voil hu tb😢,bht pyari collection h mgr doohty voil hu tb,neutral
Waiting waiting❤️,waiting waiting,neutral
❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️,,neutral
Beautiful collection❤️ but please no chiffon & silk doppata,beautiful collection please chiffon silk doppata,positive
Mera purple 💜 or green 💚 or red ♥️ psnd bs yahi chehy,mera purple green red psnd bs yahi chehy,neutral
Hania was amazing though,hania amazing though,positive
Online voil dophta plzzzz,online voil dophta plzzzz,neutral
Ya Allah 😩😩😩😩,ya allah,neutral
Wow,wow,neutral
The prints are beautiful and I love the song choice!!!  killed it mA!! 👏🔥,prints beautiful love song choice killed,positive
Overpriced brand. Models ki payment b awaam se nikaalni hoti 👎🏾,overpriced brand models ki payment b awaam se nikaalni hoti,neutral
🔥🔥🔥🔥🔥🔥,,neutral
Amazinggg music  🔥🔥,amazinggg music,neutral
Eid 1 hits different,eid hits different,neutral
So elegant and beautiful prints just love them 😍🙌,elegant beautiful prints love,positive
Beautiful ❤️❤️❤️❤️❤️❤️,beautiful,positive
Ayeza lovely😍😍😍😍,ayeza lovely,positive
Nice,nice,positive
Please no chiffon or silk dupatta!! There should be an option to choose dupatta fabrix,please chiffon silk dupatta option choose dupatta fabrix,neutral
No silk duppata,silk duppata,neutral
Waiting,waiting,neutral
Voil dophta plz no chafon dophta no silk,voil dophta plz chafon dophta silk,neutral
waiting 😍❤️❤️,waiting,neutral
Sooo amazing 😍,sooo amazing,positive
Amazing,amazing,positive
🔥,,neutral
Please no silk dupatta,please silk dupatta,neutral
So Nice  but sharts length long,nice sharts length long,positive
Beautiful collection ❤️,beautiful collection,positive
Price,price,neutral
What kind of colors are these 🤮🤮,kind colors,positive
Please no chiffon or silk dupta there should be an option to choose dupta fabric,please chiffon silk dupta option choose dupta fabric,neutral
"Please no chiffon, organza or silk dupattas!! 💯 Agreed to fatimatabassum 161",please chiffon organza silk dupattas agreed fatimatabassum,neutral
🫡🔥,,neutral
Amazing ❤️,amazing,positive
Jo 3.4 show o ry wo to achy ni .plz achy coolrs with voile dupta launch krn plz,jo show ry wo achy ni plz achy coolrs voile dupta launch krn plz,neutral
Please share the catalogue,please share catalogue,neutral
No silk or chifoon duptta plz,silk chifoon duptta plz,neutral
Hi! This article is part of the newly launched collection and will be available for purchase soon! Please stay tuned with us.,hi article part newly launched collection available purchase soon please stay tuned us,positive
OMG 😳,omg,neutral
Gorgeous,gorgeous,positive
Beautiful,beautiful,positive
Ayeza😍😍,ayeza,neutral
amazing background voice,amazing background voice,positive
Fake brand,fake brand,negative
"Truly, A Versatile Actress of this generation 🙌 🙏 Queen Ayeza khan 😘 👑 😇 🙏""tasmianabeel",truly versatile actress generation queen ayeza khan tasmianabeel,neutral
❤️,,neutral
😍,,neutral
❤️🙌🔥,,neutral
❤️🙌🔥,,neutral
💚💚💚💚💚,,neutral
❤️❤️,,neutral
When will Eid edition be launched?,eid edition launched,neutral
Pp 2nd dress,pp nd dress,neutral
3 price,price,neutral
🙌❤️,,neutral
❤️,,neutral
Price ??,price,neutral
Price,price,neutral
Price of 4th one?,price th one,neutral
Dress mgwaye thy sale me abi tk nai aen.,dress mgwaye thy sale abi tk nai aen,neutral
Black price,black price,negative
Price,price,neutral
Price,price,neutral
Phla wale chezaaa tu bhj wa da naaa pir bad ma new lunch karaaa,phla wale chezaaa tu bhj wa da naaa pir bad new lunch karaaa,negative
Ham na perfumes mangway ta sale ma abe tak nahi ayyyyyyy kab ay gaaaa,ham na perfumes mangway ta sale abe tak nahi ayyyyyyy kab ay gaaaa,neutral
Prices.?,prices,neutral
Are you going to offer any sale on mother's day,going offer sale mothers day,neutral
price,price,neutral
Black price,black price,negative
pp,pp,neutral
Pp??,pp,neutral
Pp,pp,neutral
Pp,pp,neutral
Worst customer service ever,worst customer service ever,negative
Shame on you,shame,neutral
🙌,,neutral
2nd 1,nd,neutral
"Beautiful ❤️""romanaaslam734",beautiful romanaaslam,positive
🙌,,neutral
❤️,,neutral
💚💚💚💚💚,,neutral
.nice colour 😍,nice colour,positive
❤️❤️,,neutral
Price,price,neutral
Pirce,pirce,neutral
Excuse me price,excuse price,neutral
Aoa plz rply me in inbox msges,aoa plz rply inbox msges,neutral
Price,price,neutral
Sapphire ka yeh clr SB Sy ZaDa attractive h 🔥😍,sapphire ka yeh clr sb sy zada attractive h,positive
Pp,pp,neutral
Fabric,fabric,neutral
So beautiful 😍😍😍,beautiful,positive
Price,price,neutral
Price?,price,neutral
Size chart plz,size chart plz,neutral
Price,price,neutral
Price please,price please,neutral
Check your dm,check dm,neutral
Pp,pp,neutral
How much,much,positive
Price,price,neutral
Size?,size,neutral
Peruse plz,peruse plz,neutral
"Pp""_eatandslayyyy",ppeatandslayyyy,neutral
Link?,link,neutral
❤️,,neutral
Price koi insno wali rkha kren ap log kay har koi afford kar sakhy dress na ho gy diamond work ho gya in pay ajeeb nonsense,price koi insno wali rkha kren ap log kay har koi afford kar sakhy dress na ho gy diamond work ho gya pay ajeeb nonsense,neutral
Ethnic part 2 😂,ethnic part,neutral
Proce,proce,neutral
Bohat Pyaary Hain but aisy fresh designs unstiched mey Kun ni aaaty,bohat pyaary hain aisy fresh designs unstiched mey kun ni aaaty,positive
Price plz unstich me mil jay ga dress?,price plz unstich mil jay ga dress,neutral
Link?,link,neutral
Bottom ke detail??,bottom ke detail,neutral
Wheres the bottom,wheres bottom,neutral
Why are these types of prints not available in unstitched form?,types prints available unstitched form,positive
Check your dm please,check dm please,neutral
🤍🤍💕 prettiest,prettiest,neutral
Pp,pp,neutral
"Pp?""tasmianabeel",pptasmianabeel,neutral
❤️,,neutral
😍,,neutral
❤️🙌🔥,,neutral
❤️🙌🔥,,neutral
💚💚💚💚💚,,neutral
❤️❤️,,neutral
When will Eid edition be launched?,eid edition launched,neutral
Pp 2nd dress,pp nd dress,neutral
3 price,price,neutral
🙌❤️,,neutral
❤️,,neutral
Price of 4th one?,price th one,neutral
Price,price,neutral
Price ??,price,neutral
Dress mgwaye thy sale me abi tk nai aen.,dress mgwaye thy sale abi tk nai aen,neutral
Black price,black price,negative
Price,price,neutral
Price,price,neutral
Phla wale chezaaa tu bhj wa da naaa pir bad ma new lunch karaaa,phla wale chezaaa tu bhj wa da naaa pir bad new lunch karaaa,negative
Ham na perfumes mangway ta sale ma abe tak nahi ayyyyyyy kab ay gaaaa,ham na perfumes mangway ta sale abe tak nahi ayyyyyyy kab ay gaaaa,neutral
Prices.?,prices,neutral
Are you going to offer any sale on mother's day,going offer sale mothers day,neutral
price,price,neutral
Black price,black price,negative
pp,pp,neutral
Pp??,pp,neutral
Pp,pp,neutral
Pp,pp,neutral
Worst customer service ever,worst customer service ever,negative
Shame on you,shame,neutral
🙌,,neutral
2nd 1,nd,neutral
"Beautiful ❤️""tanish_vibess",beautiful tanishvibess,positive
Cosmetic kab ay ga website py?,cosmetic kab ay ga website py,neutral
Daska city me shop open karaen,daska city shop open karaen,neutral
Daska main b open krein,daska main b open krein,neutral
Please so answer my query in dm,please answer query dm,neutral
Price?,price,neutral
In se to acha eid volume k prints e restock kr dety..whi kuch better thy.,se acha eid volume k prints e restock kr detywhi kuch better thy,positive
5 suits and 1 perfume,suits perfume,neutral
Price,price,neutral
Why you guys are not responding???,guys responding,neutral
pp,pp,neutral
Price plz,price plz,neutral
Pp,pp,neutral
New collection kab ai gii,new collection kab ai gii,positive
Amazing 😍❤️,amazing,positive
2500 two piece,two piece,neutral
ya two piece hai without trouser,ya two piece hai without trouser,neutral
Awesome,awesome,positive
Pp,pp,neutral
Price,price,neutral
iski price 2590,iski price,neutral
They launch same prints like 2023 prints,launch prints like prints,neutral
Can u PLEASE see ur DMS... It's urgent!!,u please see ur dms urgent,neutral
Price,price,neutral
"Like I said I messaged u.. Few days ago I ordered 3 shirts but accidentally ordered bigger sizes.. So I need to exchange them really quick..""fouzia_waheed_deaf",like said messaged u days ago ordered shirts accidentally ordered bigger sizes need exchange really quickfouziawaheeddeaf,neutral
Price plzz,price plzz,neutral
👏,,neutral
❤️,,neutral
Ye print khaddi ka k hai purana,ye print khaddi ka k hai purana,neutral
Nice 😍,nice,positive
Not refunding my money since December 14k+ pkr,refunding money since december k pkr,neutral
Worst experience with Sapphire,worst experience sapphire,negative
Apnaa toh Aap even shopper tak Free nai daithy or logoun k Hazaaaro kaa koi farq nai parhta,apnaa toh aap even shopper tak free nai daithy logoun k hazaaaro kaa koi farq nai parhta,positive
Price,price,neutral
Price,price,neutral
Pp,pp,neutral
Piece,piece,neutral
Pp,pp,neutral
🔥🔥,,neutral
Be a voice not an echo🙂,voice echo,neutral
Nice,nice,positive
😍,,neutral
Why is no one responding in your dms,one responding dms,neutral
Come,come,neutral
Kindly respond to my complaint via mail n inbox,kindly respond complaint via mail n inbox,positive
It's been 3 days tell me to exchange it from ur outlet if u cant help me in any other way,days tell exchange ur outlet u cant help way,neutral
Hello i am not getting ur reply,hello getting ur reply,neutral
I wanna exchange the purchased article,wanna exchange purchased article,neutral
Doosry brands valay boht easily return nd exchange krdyty hai,doosry brands valay boht easily return nd exchange krdyty hai,positive
Price,price,neutral
😍😍😍😍😍😍💜💜💜💜,,neutral
😍😍😍😍😍😍💜💜💜💜,,neutral
"Zara""enchantress234",zaraenchantress,neutral
price plzzzzzzzz,price plzzzzzzzz,neutral
Price,price,neutral
Price,price,neutral
Price?,price,neutral
Not available for USA customers?,available usa customers,positive
Terrible customer service,terrible customer service,negative
"Team Sapphire, Reached out to you via DMs due to a wrong delivery. Can you look into it",team sapphire reached via dms due wrong delivery look,negative
Hello. Kindly check DM.,hello kindly check dm,positive
Adorable,adorable,positive
Phly pichla issue tou resolve krdn,phly pichla issue tou resolve krdn,neutral
Not available on site ... why?,available site,positive
Hi online dresses ordered kiye ak me koi patch ni  nikly...so how to complain ya exchange ??,hi online dresses ordered kiye ak koi patch ni niklyso complain ya exchange,neutral
Price,price,neutral
when you deliever my parcel,deliever parcel,neutral
Hi I want shalwar with shirt but it's not available😢,hi want shalwar shirt available,positive
Resolve my issue plz... chk your indox,resolve issue plz chk indox,neutral
Bad customer service,bad customer service,negative
Pp,pp,neutral
Clr😍,clr,neutral
"I bought online recently and there is a fault in shawl .. aap Nai dupate ke two parts join ke hai stiching Green dhagey sai ke hai aur shawl purple hai and price of outfit is 5600 …. Very sad""tas_qay",bought online recently fault shawl aap nai dupate ke two parts join ke hai stiching green dhagey sai ke hai aur shawl purple hai price outfit sadtasqay,neutral
Aik bhe payaray nae sapphire quality down 😢😢😢😢,aik bhe payaray nae sapphire quality,neutral
Online to nh arahy ye sb,online nh arahy ye sb,neutral
What happened????change ur designer plz all old fashioned n boring prints every year,happenedchange ur designer plz old fashioned n boring prints every year,negative
🔥,,neutral
Colours b boht ajeeb sy hain fzool,colours b boht ajeeb sy hain fzool,neutral
Unstiche dress ki length pori dya kry 50 lenght shirt ki honi chahye or patches motifz width length pori dya kry,unstiche dress ki length pori dya kry lenght shirt ki honi chahye patches motifz width length pori dya kry,neutral
New launch a gai,new launch gai,positive
Itny gndy prints,itny gndy prints,neutral
Online nai hn,online nai hn,neutral
Nice 😍😍,nice,positive
Wowww,wowww,neutral
Too noraml,noraml,neutral
Plz sapphire unstitch lawn ke kapro ki price kam rakhen,plz sapphire unstitch lawn ke kapro ki price kam rakhen,neutral
Lawn ke new prints kab aayenge,lawn ke new prints kab aayenge,positive
"Extremely disappointed with the customer service.""aqsamalik6.1991",extremely disappointed customer serviceaqsamalik,negative
Beautiful,beautiful,positive
Price,price,neutral
😍😍,,neutral
Price,price,neutral
Price,price,neutral
Restock this article this article please?,restock article article please,neutral
Price please,price please,neutral
Price,price,neutral
Price bta den,price bta den,neutral
Price,price,neutral
out of stock,stock,neutral
Pp,pp,neutral
Price,price,neutral
price,price,neutral
Price,price,neutral
Notify me,notify,neutral
Price,price,neutral
Price????,price,neutral
Price,price,neutral
Price,price,neutral
Price,price,neutral
Price?,price,neutral
Online to ya article sold out hy,online ya article sold hy,neutral
Please restock this,please restock,neutral
Price please,price please,neutral
Dress kitne days Mai hota h receive,dress kitne days mai hota h receive,neutral
Price,price,neutral
Price,price,neutral
Pp,pp,neutral
nice,nice,positive
Price,price,neutral
Pp,pp,neutral
Pp,pp,neutral
Restock ??,restock,neutral
Code sahi dia hi ni hta tim wasted,code sahi dia hi ni hta tim wasted,negative
Price,price,neutral
Price,price,neutral
Pp,pp,neutral
Pp,pp,neutral
Pr,pr,neutral
Uski prize,uski prize,neutral
Price,price,neutral
PRICE,price,neutral
Price,price,neutral
price?,price,neutral
price plz,price plz,neutral
Is py koi off nahe laga kia??,py koi nahe laga kia,neutral
❤️❤️❤️,,neutral
Sale date?,sale date,neutral
Nice print 🔥🔥🔥🔥,nice print,positive
❤️,,neutral
❤️,,neutral
How much???,much,positive
Book from us❤️❤️❤️,book us,neutral
❤️❤️❤️❤️❤️❤️❤️ nice color,nice color,positive
Price,price,neutral
Kindly restock this,kindly restock,positive
Price,price,neutral
Price,price,neutral
Ye Jan boj kar out of stock Kiya tum logo ne hannah chalak sapphire sale par ni lana tha,ye jan boj kar stock kiya tum logo ne hannah chalak sapphire sale par ni lana tha,neutral
😍pp,pp,neutral
Price,price,neutral
Pric,pric,neutral
Online abi b out of stock aa raha hai ?,online abi b stock aa raha hai,neutral
Price,price,neutral
Off ha is pr,ha pr,neutral
Pp,pp,neutral
Prize,prize,neutral
"Pp""unnisa67",ppunnisa,neutral
Love this print,love print,positive
Price plz,price plz,neutral
Price plz,price plz,neutral
Can you please share the catalogue?,please share catalogue,neutral
It's already on the website..and few articles sold out 😕 I need them back!! You guys put wrong date of launch,already websiteand articles sold need back guys put wrong date launch,negative
Catalogue please,catalogue please,neutral
Cant wait to stitch these❤️,cant wait stitch,neutral
Hi. Will there be mother day sale on sapphire?,hi mother day sale sapphire,neutral
price ?,price,neutral
Can I pre booking,pre booking,neutral
price,price,neutral
Whats wrong with your website sapphire??,whats wrong website sapphire,negative
Link kahan hai shopping ke liye,link kahan hai shopping ke liye,neutral
Reply Karen koi 😢,reply karen koi,neutral
Pp,pp,neutral
"I’m a smart person, I just do stupid things 🔥😸",im smart person stupid things,negative
Beautiful 😍❤️,beautiful,positive
